concept,lang,word
# -------- CASA --------
casa,pt,casa
casa,pt,lar
casa,pt,domicílio
casa,pt,moradia
casa,en,house
casa,en,home
casa,en,dwelling
casa,en,residence
casa,fr,maison
casa,fr,foyer
casa,fr,logement
casa,fr,domicile
casa,es,casa
casa,es,hogar
casa,es,vivienda
casa,es,domicilio
casa,de,Haus
casa,de,Zuhause
casa,de,Wohnung
casa,de,Heim
casa,it,casa
casa,it,abitazione
casa,it,dimora
casa,it,alloggio
# -------- ÁGUA --------
agua,pt,água
agua,pt,água potável
agua,pt,riacho
agua,pt,mar
agua,en,water
agua,en,waters
agua,en,river
agua,en,sea
agua,fr,eau
agua,fr,eaux
agua,fr,mer
agua,fr,ruisseau
agua,es,agua
agua,es,aguas
agua,es,mar
agua,es,arroyo
agua,de,Wasser
agua,de,Meer
agua,de,Bach
agua,de,Fluss
agua,it,acqua
agua,it,mare
agua,it,ruscello
agua,it,acque
# -------- AMOR --------
amor,pt,amor
amor,pt,paixão
amor,pt,carinho
amor,pt,afeto
amor,en,love
amor,en,affection
amor,en,passion
amor,en,devotion
amor,fr,amour
amor,fr,affection
amor,fr,passion
amor,fr,attachement
amor,es,amor
amor,es,cariño
amor,es,afección
amor,es,pasión
amor,de,Liebe
amor,de,Zuneigung
amor,de,Leidenschaft
amor,de,Hingabe
amor,it,amore
amor,it,affetto
amor,it,passione
amor,it,tenerezza
# -------- VIDA --------
vida,pt,vida
vida,pt,existência
vida,pt,viver
vida,pt,biografia
vida,en,life
vida,en,existence
vida,en,living
vida,en,biography
vida,fr,vie
vida,fr,existence
vida,fr,vivre
vida,fr,biographie
vida,es,vida
vida,es,existencia
vida,es,vivir
vida,es,biografía
vida,de,Leben
vida,de,Existenz
vida,de,leben
vida,de,Biografie
vida,it,vita
vida,it,esistenza
vida,it,vivere
vida,it,biografia
# -------- COMIDA --------
comida,pt,comida
comida,pt,alimento
comida,pt,refeição
comida,pt,nutriente
comida,en,food
comida,en,meal
comida,en,foodstuff
comida,en,nutrient
comida,fr,nourriture
comida,fr,repas
comida,fr,aliment
comida,fr,nutriment
comida,es,comida
comida,es,alimento
comida,es,comida principal
comida,es,nutriente
comida,de,Essen
comida,de,Mahlzeit
comida,de,Nahrung
comida,de,Nährstoff
comida,it,cibo
comida,it,pasto
comida,it,alimento
comida,it,nutriente
